 Ensembl 	HGNC	N1H1_Pool_1	N1H1_Pool_2	N1H1_Pool_3	P1A8_Pool_1	P1A8_Pool_2	P1A8_Pool_3
CCDC69	CCDC69	376	246	346	430	424	549
MDM4	MDM4	991	1160	840	752	771	881
RYR2	RYR2	8	9	11	2	2	5
ZNF534	ZNF534	0	0	0	0	0	0
KLHL9	KLHL9	2045	1783	1856	2881	2850	3462
FAM3D	FAM3D	0	0	0	0	0	0
NCOA6	NCOA6	1623	1429	1445	1254	1530	1787
STK39	STK39	1171	975	1232	1967	1967	2314
TAT	TAT	0	1	0	2	0	0
ABHD17AP1	FAM108A3P	2.08	3.09	5.26	2.39	5.24	1.02
C6orf89	C6orf89	3211	2909	2879	3390	3653	4244
CALM1	CALM1	6610	5163	5670	8646	8357	9752
LPA	LPA	0	0	0	0	0	0
TAFA2	FAM19A2	16	12	8	17	11	16
OR10G6	OR10G6	0	0	0	0	0	0
TTC37	TTC37	4906	4632	4401	3682	3990	4757
OR5BS1P		0	0	0	0	0	0
TUSC1	TUSC1	43	30	42	201	212	221
MAGEA1	MAGEA1	0	0	0	0	0	0
PAPSS2	PAPSS2	1890	1776	1537	967	1073	1109
LINC01565	C3orf27	0	0	0	0	0	0
SLC9A6	SLC9A6	1531	1325	1366	1587	1644	1859
FAN1	FAN1	1273.17	1161.49	1328.65	1330.42	1572.8	1626.78
ABCA4	ABCA4	1	3	5	43	41	41
EIF1AY	EIF1AY	0	0	0	0	0	0
MT-ND6	MT-ND6	5610	5861	5015	5453	6745	6711
IPO9	IPO9	6842.83	6554.27	6362.61	6422.77	6880.37	7955.71
OR10R3P	OR10R3P	0	0	0	0	0	0
GPX6	GPX6	0	0	0	0	0	0
CEP290	CEP290	978.42	905.86	909.79	978.36	1174.68	1295.1
SSBP3-AS1	C1orf191	1	0	1	2	4	0
MT-CO2	MT-CO2	62708	56308.02	50292.51	86593.93	95192.33	102498.44
GLMP	C1orf85	1566	1507	1200.3	1458	1435	1502
DLL1	DLL1	8	6	6	14	21	14
ANKRD13B	ANKRD13B	105	107	107	178	216	199
ECI2	ECI2	1582.84	1499.96	1476	2055.76	1893.97	2308.2
UNC13B	UNC13B	1411	1129	1557	1560	1752	1876
TEX45	C19orf45	0	1	0	0	0	0
MT-CYB	MT-CYB	22519	24285	20978	29311	34468.14	35530.89
LDB1	LDB1	1319	1278	1175	1308	1428	1340
PPP1R14C	PPP1R14C	13	10	5	20	10	20
CTR9	CTR9	2067	1717	1726	2028	2221	2564
SMOC1	SMOC1	4	3	4	2	5	2
MSRB1	MSRB1	804	672	758	518	510	655
SMIM11P1	FAM165A	0	0	0	0	0	0
LRRTM3	LRRTM3	0	0	0	0	0	0
ZNF652	ZNF652	446	416	465	502	545	757
SMURF1	SMURF1	1007.77	913.84	898.94	949.64	1066.6	1136.62
SLC5A3	SLC5A3	9340.47	7538.63	7982.58	6204.42	12004.9	15184.33
MTCO3P12		4	8	3	9	11	9
GPATCH3	GPATCH3	404.98	345	354.96	488.98	477	548
CDC42BPB	CDC42BPB	5708.45	5377.7	5452.91	5467.37	6348.51	6995.87
PLXNB3	PLXNB3	308.72	386.76	226.31	40.58	43.97	36.3
OXCT2	OXCT2	21	31	31	34	17	13
RPL10A	RPL10A	11049	10019	9429	10096	9406	11028
COLGALT2	GLT25D2	4	11	6	5	4	1
EPS8L3	EPS8L3	0	1	0	0	0	0
EGFL6	EGFL6	0	0	0	0	0	0
MT-ND2	MT-ND2	17651	16879	16012	23274.2	26613	29869.54
SYCP1	SYCP1	0	0	0	0	0	0
APCDD1L	APCDD1L	0	0	0	0	2	0
RCSD1	RCSD1	2	0	1	20	21	39
RASSF9	RASSF9	265	191	209	123	157	204
FAM169A	FAM169A	25	26	14	164	210	254
ZNF830	ZNF830	675	589	698	687	657	838
GRIN3A	GRIN3A	1	2	1	1	3	4
MT-ND5	MT-ND5	45501	47105	37979.15	39648	50985.62	48240.83
OR7E103P		0	0	0	0	0	0
MUC2	MUC2	3	0	0	1	2	1
CNOT7	CNOT7	4516.42	3891.84	3897.7	3597	3546.06	4384.17
TMEM184B	TMEM184B	2229	1939	2240	2885	2961	3306.21
MTOR	MTOR	1921	1588	2275	2076	2173	2710
SCAMP5	SCAMP5	223	192	185	128	140	150
ZNF521	ZNF521	3	4	2	1	0	0
ALPK2	ALPK2	123.04	136.46	167.53	0	0	0
BRINP2	FAM5B	2	1	1	2	2	4
MAGEB3	MAGEB3	0	0	0	0	0	0
LRIG2	LRIG2	1087	1047	842	825	797	1001
MT-CO1	MT-CO1	140374.74	152546	115502.21	127214.99	148395.9	144502.11
PNP	PNP	1677	1295	1543	2981	3034	3352.7
PAX9	PAX9	2.44	3.44	1.1	0	2	4
LRRC10	LRRC10	0	0	0	0	0	0
GK	GK	255.81	214.04	240	251	264.94	312
FOXJ3	FOXJ3	2861	2526	2526	2201	2275	2544
ZNF358	ZNF358	837	806.35	654.29	738	716.24	761.08
SFT2D1	SFT2D1	1242	1283	1171	1378	1308	1483
CD247	CD247	0	2	1	0	0	0
GRM3	GRM3	0	0	0	0	0	0
CHAMP1	CHAMP1	1688	1242	1601	1919	1975	2483
INPP5F	INPP5F	820	625	680	1349	1373	1602
ARHGAP11A	ARHGAP11A	3596	2701	3010	3101	3181	3697
SUCNR1	SUCNR1	0	0	0	1	1	1
HMGN2	HMGN2	16514	15087	13251	19595	17404	21962
SELENOM		365	280	247	303	199	295
UBE2J1	UBE2J1	3014	2366	2927	3745	3925	4511.94
GJC2	GJC2	33	29	33	73	78	93
OPA1	OPA1	2869	2314	2674	2360	2519	3138
DENND4B	DENND4B	1842	1907	1699	1325	1475	1431
RYR3	RYR3	8	6	2	5	6	7
ZNF277	ZNF277	745	669.19	606	539	483	571
MT-ND3	MT-ND3	7671	7291	6450	7857	8497	9927
KTI12	KTI12	294.99	227.48	297.86	358	337.79	404.52
STYXL2	DUSP27	0	0	0	0	0	0
SELENOT		4024	2862	3292	3936	3923	4667
ARHGEF15	ARHGEF15	1	0	0	0	0	0
TOX	TOX	1	0	0	0	0	0
CES1	CES1	0	0	0	0	0	0
CD3E	CD3E	0	1	3	0	2	0
RUSC2	RUSC2	790	718	691	586	638	687
C1orf68	C1orf68	0	0	0	0	0	0
FICD	FICD	264	137	253	320	307	391
OSTC	OSTC	2615	2095	2093	3103	2936	3589
HSD3BP5	HSD3BP5	0	2	1	1	0	0
R3HDM4	R3HDM4	725	573	669	705	604	773
TSEN15	TSEN15	628	404	608	890	831	1049
LTN1	LTN1	3355	3338	2979	1932	2132	2640
RUNDC1	RUNDC1	1286	1143	1255	935	1007	1166
CCDC152	CCDC152	1.54	1.49	4.45	98.92	79.05	134.8
MTND4LP30	MIR4461	0	0	0	0	0	0
STKLD1	C9orf96	11	10	13	12	19	11
GRK5	GRK5	97	106	93	76	79	88
TYW1	TYW1	720.01	632.01	745.03	739.03	790.05	850.01
DCAF12	DCAF12	2252	1634	1983	2688	2700	3079
SFMBT2	SFMBT2	5	12	12	14	16	23
ASB12	ASB12	0	0	0	0	0	1.79
PNMA5	PNMA5	0	2	0	0	0	0
ITPRIPL1	ITPRIPL1	85	89	81	141	152	114
MT-ND4	MT-ND4	75660.73	78377.8	59777.4	62050.85	75006	72690.89
SMC5	SMC5	3277	3049	3040	2946	3303	4036
MT-ND1	MT-ND1	16709	18475	15524	18207	22985	22118.04
DCAF12L1	DCAF12L1	759	546	707	16	8	15
PRMT6	PRMT6	1265	958	1261	1762	1757	2046
SHISA4	SHISA4	202	148	171	191	232	268
CIPC	KIAA1737	893	823	878	663	725	863
CAPZA2	CAPZA2	8285	6856	6403	5913	5878	7378
MT-ATP6	MT-ATP6	23095	22558.93	18593	23727.76	27792	27915
TOP1	TOP1	4584	3725	4232	5419	5479	6891
PRC1	PRC1	7156.77	6069.75	5915.95	7176	7292.99	8356.95
BHLHB9	BHLHB9	317	301	302	322	343	344
MAP3K3	MAP3K3	935.47	746.35	795.43	1163.54	1307.86	1332.25
L1CAM	L1CAM	595	473	447	9307	10152.73	11264.05
SREBF2	SREBF2	9869.42	8878.35	8355.36	8304.07	8821.44	9761.32
POU3F3	POU3F3	5439	4552	4892	4019	4237	4826
RASGEF1A	RASGEF1A	2	2	1	5	2	4
SPOUT1	C9orf114	923.8	765.42	838.32	1128.48	1251.07	1390.65
RPL39	RPL39	5187	4340	4386	3999	3938	4475
DZIP3	DZIP3	1183	1228	967	1235	1224	1412
KIAA0753	KIAA0753	630	620	558	738	784	865
DCLRE1A	DCLRE1A	1101	866	944	1183	1226	1564
ATG9A	ATG9A	3411.84	3075.08	3585.93	2256.73	2437.91	2662.13
NOS1AP	NOS1AP	41	57.85	56.79	65.64	79.31	65.46
CSAG1	CSAG1	0	0	0	0	0	0
APRT	APRT	1887	1659	1582	2137	1746	2432
GPRASP1	GPRASP1	377	389	341	132	171	163
TBKBP1	TBKBP1	353	391	397	257	226	223
MAGEE1	MAGEE1	69	38	54	122	140	167
CCDC167	CCDC167	351.39	298	303	276	238	331
MT-CO3	MT-CO3	77321.01	77622.98	68034	79899.84	89737	94143.33
ZFP2	ZFP2	11	13	12	22	25	24
SOWAHA	SOWAHA	6	10	11	10	0	7
L3MBTL3	L3MBTL3	378	314	458	496.92	482	611
DMD	DMD	390	314	373	832	884	1023
MFAP3L	MFAP3L	59	34	54	107	94	127
NAGA	NAGA	1389	1243	1211	1779	1689	2043
SMG5	SMG5	4749	4386	4674	3660	3777	4064
KIFBP	KIAA1279	1363	973	1142	1795	1722	2214
TGM2	TGM2	665	563	573	4418	4896	5337
ARMCX6	ARMCX6	415	455	390	346	346	375
PJA2	PJA2	12545	10970.05	10059	7296	7731	9468
RORB	RORB	0	2	0	4	4	7
SGMS1	SGMS1	852	616	804	897	919	1142
OR10R2	OR10R2	0	0	0	0	0	0
OR10Z1	OR10Z1	0	0	0	0	0	0
MIRLET7E	MIRLET7E	0	0	0	0	0	0
MIR30E	MIR30E	0	0	0	0	0	0
MIRLET7A2	MIRLET7A2	0	0	0	0	0	0
MIR429	MIR429	0	0	0	0	0	0
MIR380	MIR380	0	0	0	0	0	0
MIR449A	MIR449A	0	0	0	0	0	0
MIR345	MIR345	0	0	0	0	0	0
MIR16-2	MIR16-2	0	0	0	0	0	0
MIR340	MIR340	0	0	0	0	0	0
MIR107	MIR107	0	0	0	0	0	0
MIR448	MIR448	0	0	0	0	0	0
MIR370	MIR370	0	0	0	0	0	0
MIR412	MIR412	0	0	0	0	0	0
MIR377	MIR377	0	0	0	0	0	0
MIR1-1	MIR1-1	0	0	0	0	0	0
MIR381	MIR381	0	0	0	0	0	0
MIR339	MIR339	0	0	0	0	0	0
MIR369	MIR369	0	0	0	0	0	0
MIRLET7C	MIRLET7C	0	0	0	0	0	0
MIR371A	MIR371A	0	0	0	0	0	0
MIR425	MIR425	0	0	0	0	0	0
MIR219A1	MIR219-1	0	0	0	0	0	0
MIR335	MIR335	0	0	0	0	0	0
MIR361	MIR361	0	0	0	0	0	0
MIR324	MIR324	0	0	0	0	0	0
MIR135B	MIR135B	0	0	0	0	0	0
MIR101-2	MIR101-2	0	0	0	0	0	0
MIR323A	MIR323A	0	0	0	0	0	0
MIRLET7F1	MIRLET7F1	0	0	0	0	0	0
MIR26A1	MIR26A1	0	0	0	0	0	0
MIR129-2	MIR129-2	0	0	0	0	0	0
MIR133B	MIR133B	0	0	0	0	0	0
MIR148A	MIR148A	0	0	0	0	0	0
MIR379	MIR379	0	0	0	0	0	0
MIR326	MIR326	0	0	0	0	0	0
MIR410	MIR410	0	0	0	0	0	0
MIR30C2	MIR30C2	0	0	0	0	0	0
MIR372	MIR372	0	0	0	0	0	0
MIR302C	MIR302C	0	0	0	0	0	0
MIR346	MIR346	0	0	0	0	0	0
MIR409	MIR409	0	0	0	0	0	0
MIR411	MIR411	0	0	0	0	0	0
MIR26B	MIR26B	0	0	0	0	0	0
MIR148B	MIR148B	0	0	0	0	0	0
MIR383	MIR383	0	0	0	0	0	0
MIR365A	MIR365A	0	0	0	0	0	0
MIR450A1	MIR450A1	0	0	0	0	0	0
MIRLET7D	MIRLET7D	0	0	0	0	0	0
MIR101-1	MIR101-1	0	0	0	0	0	0
MIR373	MIR373	0	0	0	0	0	0
MIR302D	MIR302D	0	0	0	0	0	0
MIRLET7G	MIRLET7G	0	0	0	0	0	0
MIR337	MIR337	0	0	0	0	0	0
MIR30D	MIR30D	0	0	0	0	0	0
MIR422A	MIR422A	0	0	0	0	0	0
MIR208A	MIR208A	0	0	0	0	0	0
MIR96	MIR96	0	0	0	0	0	0
MIR126	MIR126	0	0	0	0	0	0
MIRLET7A1	MIRLET7A1	0	0	0	0	0	0
MIR374A	MIR374A	0	0	0	0	0	0
MIR367	MIR367	0	0	0	0	0	0
MIR331	MIR331	0	0	0	0	0	0
MIR31	MIR31	0	0	0	0	0	0
MIRLET7I	MIRLET7I	0	0	0	0	0	0
RNA5SP289	RN5S289	0	0	0	0	0	0
RNU105C	RNU105C	0	0	0	0	0	0
RNU6-1123P		0	0	0	0	0	0
RN7SKP184		0	0	0	0	0	0
RNU6-500P		0	0	0	0	0	0
RNU6-50P	RNU6-50	0	0	0	0	0	0
RNU6-834P		0	0	0	0	0	0
RNA5SP46	RN5S46	0	0	0	0	0	0
RNU6-896P		0	0	0	0	0	0
RNU6-28P		0	0	0	0	0	0
RNU6-664P		0	0	0	0	0	0
RNU6-874P		0	0	0	0	0	0
SNORA60	SNORA60	0	0	0	0	0	0
RNA5S12	RN5S12	0	0	0	0	0	0
RNA5SP26	RN5S26	0	0	0	0	0	0
RNU6-661P		0	0	0	0	0	0
RNU1-58P		0	0	0	0	0	0
RNU6-1094P		0	0	0	0	0	0
SNORA21	SNORA21	0	0	0	0	0	0
RNA5SP430	RN5S430	0	0	0	0	0	0
RNU6-208P		0	0	0	0	0	0
RNU6-858P		0	0	0	0	0	0
RNU6-222P		0	0	0	0	0	0
SNORD115-34	SNORD115-34	0	0	0	0	0	0
RNU4-82P		0	0	0	0	0	0
RNA5SP347	RN5S347	0	0	0	0	0	0
RN7SKP25		0	0	0	0	0	0
RNA5SP183	RN5S183	0	0	0	0	0	0
RNU4-39P		0	0	0	0	0	0
RNU6-1298P		0	0	0	0	0	0
RNU6-230P		0	0	0	0	0	0
RNA5S11	RN5S11	0	0	0	0	0	0
RNU6-204P		0	0	0	0	0	0
RNA5S3	RN5S3	0	0	0	0	0	0
RNU5E-1	RNU5E-1	0	0	0	0	0	0
RNU6-766P		0	0	0	0	0	0
RNA5SP432	RN5S432	0	0	0	0	0	0
RNA5S1	RN5S1	0	0	0	0	0	0
RNA5SP273	RN5S273	0	0	0	0	0	0
RNU6-1115P		0	0	0	0	0	0
RNU1-150P		0	0	0	0	0	0
SNORA63E		0	0	0	0	0	0
RNU6-1084P		0	0	0	0	0	0
RNA5SP453	RN5S453	0	0	0	0	0	0
RNU5F-1	RNU5F-1	0	0	0	0	0	0
RNU6-79P	RNU6-79	0	0	0	0	0	0
RNU6-369P		0	0	0	0	0	0
SNORD114-7	SNORD114-7	0	0	0	0	0	0
RNU6-600P		0	0	0	0	0	0
RNA5S5	RN5S5	0	0	0	0	0	0
RNY4P19	RNY4P19	0	0	0	0	0	0
SNORA1B		0	0	0	0	0	0
RNA5SP301	RN5S301	0	0	0	0	0	0
RNA5SP370	RN5S370	0	0	0	0	0	0
RN7SKP170		0	0	0	0	0	0
VTRNA3-1P	VTRNA3-1P	0	0	0	0	0	0
RNU1-108P		0	0	0	0	0	0
SNORD9	SNORD9	0	0	0	0	0	0
RNU6-543P		0	0	0	0	0	0
RNU6-845P		0	0	0	0	0	0
RNA5SP276	RN5S276	0	0	0	0	0	0
SNORD115-12	SNORD115-12	0	0	0	0	0	0
RNA5SP388	RN5S388	0	0	0	0	0	0
RNA5SP191	RN5S191	0	0	0	0	0	0
RNU4-35P		0	0	0	0	0	0
RNU6-1216P		0	0	0	0	0	0
RNU6-556P		0	0	0	0	0	0
RNU1-62P		0	0	0	0	0	0
RN7SKP104		0	0	0	0	0	0
SNORA31	SNORA31	0	0	0	0	0	0
RNA5SP389	RN5S389	0	0	0	0	0	0
RNU6-633P		0	0	0	0	0	0
RNU4-15P		0	0	0	0	0	0
RNU1-70P		0	0	0	0	0	0
SNORD115-25	SNORD115-25	0	0	0	0	0	0
RNU6-1313P		0	0	0	0	0	0
RNU6-247P		0	0	0	0	0	0
RNA5SP110	RN5S110	0	0	0	0	0	0
RNA5SP477	RN5S477	0	0	0	0	0	0
RNU6-212P		0	0	0	0	0	0
RNU6-235P		0	0	0	0	0	0
RNU6-386P		0	0	0	0	0	0
RNA5SP226	RN5S226	0	0	0	0	0	0
RNA5SP295	RN5S295	0	0	0	0	0	0
RNU6-462P		0	0	0	0	0	0
RNU6-315P		0	0	0	0	0	0
RNA5SP195	RN5S195	0	0	0	0	0	0
RNU6-545P		0	0	0	0	0	0
RNA5SP361	RN5S361	0	0	0	0	0	0
RNU6-37P		0	0	0	0	0	0
RNA5SP502	RN5S502	0	0	0	0	0	0
RNU5A-1	RNU5A-1	0	0	0	0	0	0
RNA5SP174	RN5S174	0	0	0	0	0	0
SNORD18C	SNORD18C	0	0	0	0	0	0
SNORD114-1	SNORD114-1	0	0	0	0	0	0
RNU6-822P		0	0	0	0	0	0
RNA5SP321	RN5S321	0	0	0	0	0	0
SNORD114-14	SNORD114-14	0	0	0	0	0	0
RNU6-1301P		0	0	0	0	0	0
RNU6-859P		0	0	0	0	0	0
RNU6-562P		0	0	0	0	0	0
RNY4P24	RNY4P24	0	0	0	0	0	0
RNA5SP124	RN5S124	0	0	0	0	0	0
RNA5SP258	RN5S258	0	0	0	0	0	0
RN7SKP20		0	0	0	0	0	0
RNU6-989P		0	0	0	0	0	0
RNU6-1010P		0	0	0	0	0	0
RNU1-14P	RNU1-14P	0	0	0	0	0	0
SNORD33	SNORD33	0	0	0	0	0	0
RNU4-79P		0	0	0	0	0	0
RNA5SP319	RN5S319	0	0	0	0	0	0
RN7SKP294		0	0	0	0	0	0
RNU4-90P		0	0	0	0	0	0
RNU6-1330P		0	0	0	0	0	0
RNU6-1272P		0	0	0	0	0	0
RNU1-35P		0	0	0	0	0	0
RNU6-1266P		0	0	0	0	0	0
SNORD3G		0	0	0	0	0	0
RNU4-21P		0	0	0	0	0	0
SNORD16	SNORD16	0	0	0	0	0	0
RNU6-862P		0	0	0	0	0	0
RN7SKP185		0	0	0	0	0	0
RNU1-38P		0	0	0	0	0	0
RN7SKP173		0	2	0	0	0	1
RNU6-1128P		0	0	0	0	0	0
RNU6-446P		0	0	0	0	0	0
RNU6-223P		0	0	0	0	0	0
RNU6-170P		0	0	0	0	0	0
SNORD115-29	SNORD115-29	0	0	0	0	0	0
RNU4-23P		0	0	0	0	0	0
SNORD115-2	SNORD115-2	0	0	0	0	0	0
RN7SKP74		3	1	0	1	0	0
RNU6-655P		0	0	0	0	0	0
RNU6-1079P		0	0	0	0	0	0
RNU6-227P		0	0	0	0	0	0
RNU6-552P		0	0	0	0	0	0
SNORD36A	SNORD36A	0	0	0	0	0	0
SNORD104	SNORD104	0	0	0	0	0	0
RNU6-363P		0	0	0	0	0	0
RNU6-78P	RNU6-78	0	0	0	0	0	0
RNU1-76P		0	0	0	0	0	0
SNORD115-9	SNORD115-9	0	0	0	0	0	0
RNU6-1287P		0	0	0	0	0	0
SNORA52	SNORA52	0	0	0	0.97	0	0
RNA5SP188	RN5S188	0	0	0	0	0	0
SNORA80C		0	0	0	0	0	0
RNY3P2	RNY3P2	0	0	0	0	0	0
RNU6-836P		0	0	0	0	0	0
RNU6-451P		0	0	0	0	0	0
RNU6-1233P		0	0	0	0	0	0
RNU6-924P		0	0	0	0	0	0
SNORD114-5	SNORD114-5	0	0	0	0	0	0
RNU6-1159P		0	0	0	0	0	0
RNA5SP383	RN5S383	0	0	0	0	0	0
RNU1-134P		0	0	0	0	0	0
RNA5SP491	RN5S491	0	0	0	0	0	0
RNA5SP374	RN5S374	0	0	0	0	0	0
RNU6-428P		0	0	0	0	0	0
RNU6-1260P		0	0	0	0	0	0
RNU6-199P		0	0	0	0	0	0
RNU6-1290P		0	0	0	0	0	0
RN7SKP291		0	0	0	0	0	0
SNORD115-21	SNORD115-21	0	0	0	0	0	0
RNU1-47P		0	0	0	0	0	0
RNA5SP150	RN5S150	0	0	0	0	0	0
RNA5SP358	RN5S358	0	0	0	0	0	0
RNA5SP375	RN5S375	0	0	0	0	0	0
RNU1-72P		0	0	0	0	0	0
RNU5F-6P	RNU5F-6P	0	0	0	0	0	0
RNU6-490P		0	0	0	0	0	0
RNU6-1120P		0	0	0	0	0	0
RNU6-582P		0	0	0	0	0	0
RNU6-495P		0	0	0	0	0	0
RNU6-942P		0	0	0	0	0	0
RNA5SP452	RN5S452	0	0	0	0	0	0
RN7SKP149		0	0	0	0	0	0
RNVU1-22		0	0	0	0	0	0
RNU6-888P		0	0	0	0	0	0
RN7SKP90		0	0	0	0	0	0
RNU6-330P		0	0	0	0	0	0
RNU6-249P		0	0	0	0	0	0
RNU1-17P	RNU1-17P	0	0	0	0	0	0
RNU6-1273P		0	0	0	0	0	0
RNU6-492P		0	0	0	0	0	0
RNU5B-2P	RNU5B-2P	0	0	0	0	0	0
RNA5S10	RN5S10	0	0	0	0	0	0
SNORD114-16	SNORD114-16	0	0	0	0	0	0
RNU4-44P		0	0	0	0	0	0
RNU6-161P		0	0	0	0	0	0
RNU6-1252P		0	0	0	0	0	0
RNA5SP405	RN5S405	0	0	0	0	0	0
RNU1-18P	RNU1-18P	0	0	0	0	0	0
RNY1P16		0	0	0	0	0	0
RN7SKP75		0	0	0	0	0	0
SNORD114-19	SNORD114-19	0	0	0	0	0	0
RNU6-653P		0	0	0	0	0	0
RNA5SP443	RN5S443	0	0	0	0	0	0
SNORD115-14	SNORD115-14	0	0	0	0	0	0
SNORD1B	SNORD1B	0	0	0	0	0	0
RNU6-605P		0	0	0	0	0	0
SNORD115-19	SNORD115-19	0	0	0	0	0	0
SNORD115-3	SNORD115-3	0	0	0	0	0	0
RNU6-797P		0	0	0	0	0	0
RN7SKP243		0	0	0	0	0	0
RNA5SP264	RN5S264	0	0	0	0	0	0
RNU6-486P		0	0	0	0	0	0
VTRNA1-1	VTRNA1-1	0	0	0	0	0	0
RNA5SP145	RN5S145	0	0	0	0	0	0
RNU6-986P		0	0	0	0	0	0
RNA5SP448	RN5S448	0	0	0	0	0	0
RNA5SP98	RN5S98	0	0	0	0	0	0
RNU6-642P		0	0	0	0	0	0
RNU6-403P		0	0	0	0	0	0
RNU4-73P		0	0	0	0	0	0
RNA5SP65	RN5S65	0	0	0	0	0	0
RN7SKP115		0	0	0	0	0	0
RNU6-812P		0	0	0	0	0	0
RN7SKP63		0	0	0	0	0	0
RNA5SP218	RN5S218	0	0	0	0	0	0
RNU4-58P		0	0	0	0	0	0
RNY4P9	RNY4P9	0	0	0	0	0	0
RNU4-80P		0	0	0	0	0	0
RNA5SP326	RN5S326	0	0	0	0	0	0
SNORD68	SNORD68	0	0	0	0	0	0
RNU6-433P		0	0	0	0	0	0
SNORA73B	SNORA73B	3	3	1	8	8	11
SNORD114-31	SNORD114-31	0	0	0	0	0	0
RN7SKP163		0	0	0	0	0	0
RNU6-181P		0	0	0	0	0	0
RNU6-1167P		0	0	0	0	0	0
RNU6-508P		0	0	0	0	0	0
RNU6-252P		0	0	0	0	0	0
RNU6-251P		0	0	0	0	0	0
RNU6-1249P		0	0	0	0	0	0
RNU6-774P		0	0	0	0	0	0
RNA5SP123	RN5S123	0	0	0	0	0	0
RN7SKP77		0	0	0	0	0	0
RNU6-1021P		0	0	0	0	0	0
RNY1P10		0	0	0	0	0	0
RNU6-778P		0	0	0	0	0	0
RNU6-544P		0	0	0	0	0	0
RN7SKP231		0	0	0	0	0	0
RNU6-216P		0	0	0	0	0	0
RNU6-23P		0	0	0	0	0	0
RNU5B-1	RNU5B-1	0	0	0	0	0	0
RN7SKP145		0	0	0	0	0	0
SNORD115-18	SNORD115-18	0	0	0	0	0	0
RNA5SP350	RN5S350	0	0	0	0	0	0
RNU5D-1	RNU5D-1	0	0	0	0	0	0
RNU6-1309P		0	0	0	0	0	0
RNU1-19P	RNU1-19P	0	0	0	0	0	0
RNU6-238P		0	0	0	0	0	0
RNU1-20P	RNU1-20P	0	0	0	0	0	0
RNU6-832P		0	0	0	0	0	0
RNU1-21P	RNU1-21P	0	0	0	0	0	0
RN7SKP211		0	0	0	0	0	0
RNU1-22P	RNU1-22P	0	0	0	0	0	0
RNY4P27	RNY4P27	0	0	0	0	0	0
RNU6-992P		0	0	0	0	0	0
SNORD113-6	SNORD113-6	0	0	0	0	0	0
RNU6-745P		0	0	0	0	0	0
RNU6-839P		0	0	0	0	0	0
RNU6-697P		0	0	0	0	0	0
RNU6-179P		0	0	0	0	0	0
RNU6-626P		0	0	0	0	0	0
RNA5SP382	RN5S382	0	0	0	0	0	0
RNA5SP197	RN5S197	0	0	0	0	0	0
RNU1-23P	RNU1-23P	0	0	0	0	0	0
RNA5SP133	RN5S133	0	0	0	0	0	0
RN7SKP79		0	0	0	0	0	0
RNA5SP263	RN5S263	0	0	0	0	0	0
RNU6-254P		0	0	0	0	0	0
RNA5SP214	RN5S214	0	0	0	0	0	0
RNU6-529P		0	0	0	0	0	0
RNU6-536P		0	0	0	0	0	0
RNU6-97P		0	0	0	0	0	0
SNORD35A	SNORD35A	0	0	0	0	0	0
RNU6-66P	RNU6-66	0	0	0	0	0	0
RNU6-838P		0	0	0	0	0	0
RNU4-32P		0	0	0	0	0	0
RNA5SP199	RN5S199	0	0	0	0	0	0
RNA5SP352	RN5S352	0	0	0	0	0	0
SNORD114-10	SNORD114-10	0	0	0	0	0	0
RNU6-624P		0	0	0	0	0	0
RNA5SP393	RN5S393	0	0	0	0	0	0
RNU6-527P		0	0	0	0	0	0
RNU1-83P		0	0	0	0	0	0
RNA5SP483	RN5S483	0	0	0	0	0	0
RNU6-1255P		0	0	0	0	0	0
RNA5SP215	RN5S215	0	0	0	0	0	0
RN7SKP255		0	0	0	0	0	0
RNA5-8SP7	RN5-8S7	0	0	0	0	0	0
SNORA63	SNORA63	0	0	0.77	0	0.33	1.62
RNA5SP391	RN5S391	0	0	0	0	0	0
RNA5SP62	RN5S62	0	0	0	0	0	0
RNU6-183P		0	0	0	0	0	0
RNA5SP333	RN5S333	0	0	0	0	0	0
RNU1-49P		0	0	0	0	0	0
RNU1-105P		0	0	0	0	0	0
RNA5S8	RN5S8	0	0	0	0	0	0
RNU6-485P		0	0	0	0	0	0
RNU6-1285P		0	0	0	0	0	0
SNORA71D	SNORA71D	0	0	0	0	0	0
RNU6-833P		0	0	0	0	0	0
RNU6-792P		0	0	0	0	0	0
RNU6-511P		0	0	0	0	0	0
SNORD113-8	SNORD113-8	0	0	0	0	0	0
RNU6-666P		0	0	0	0	0	0
RNA5S17	RN5S17	0	0	0	0	0	0
RNU5E-8P	RNU5E-8P	0	0	0	0	0	0
RNU5E-10P	RNU5E-10P	0	0	0	0	0	0
RN7SKP45		0	0	0	0	0	0
RNA5S4	RN5S4	0	0	0	0	0	0
RNU6-618P		0	0	0	0	0	0
RNU6-509P		0	0	0	0	0	0
RNU6-698P		0	0	0	0	0	0
SNORA38B	SNORA38B	0	0	0	0	0	0
SNORD115-24	SNORD115-24	0	0	0	0	0	0
RNU6-1099P		0	0	0	0	0	0
RNA5SP346	RN5S346	0	0	0	0	0	0
SNORD114-26	SNORD114-26	0	0	0	0	0	0
SNORA63B		0	0	0	0	0	0
RNU6-1155P		0	0	0	0	0	0
RNU4-81P		0	0	0	0	0	0
RNA5-8SP2	RN5-8S2	0	0	0	0	0	0
RNU6-799P		0	0	0	0	0	0
RNU6-1066P		0	0	0	0	0	0
